Molecule,Atom,x_coord,y_coord,z_coord,sigma_iso,sigma_xx,sigma_yy,sigma_zz,dia_sigma_xx,dia_sigma_yy,dia_sigma_zz,para_sigma_xx,para_sigma_yy,para_sigma_zz,sigma_11,sigma_22,sigma_33,s_tot_symmetry,span,skew
KLaL_cation_pi_RCCE_opt_0p2.xyz,Nucleus 4H :,-1.00867,-3.16908,-13.28325,26.87,23.27,27.35,29.98,-57.95,15.22,85.17,82.82,12.84,-57.51,23.27,27.35,29.98,0,6.71,0.21
KLaL_cation_pi_RCCE_opt_0p2.xyz,Nucleus 7H :,2.41198,-2.20461,-16.88088,24.32,29.05,23.43,20.49,-53.83,64.72,97.62,78.75,-39.61,-74.68,20.49,23.43,29.05,0,8.56,-0.31
KLaL_cation_pi_RCCE_opt_0p2.xyz,Nucleus 9H :,3.34765,-1.9455,-17.38756,24.76,21.06,26.35,26.86,4.37,94.1,70.48,21.53,-67.85,-48.34,21.06,26.35,26.86,0,5.8,0.82
KLaL_cation_pi_RCCE_opt_0p2.xyz,Nucleus 11H :,2.39691,-3.29532,-16.81784,24.22,29.08,20.36,23.21,142.98,56.81,32.06,-118.76,-31.9,-8.54,20.36,23.21,29.08,0,8.72,-0.35
KLaL_cation_pi_RCCE_opt_0p2.xyz,Nucleus 14H :,2.4252,-1.57784,-15.50033,26.22,22.93,29.48,26.25,17.49,92.95,66.75,8.74,-68.88,-38.39,22.93,26.25,29.48,0,6.55,0.01
KLaL_cation_pi_RCCE_opt_0p2.xyz,Nucleus 15H :,2.68791,-0.21348,-15.39687,27.85,34.91,25.13,23.5,135.29,36.87,59.58,-108.63,-3.77,-35.79,23.5,25.13,34.91,0,11.41,-0.72
KLaL_cation_pi_RCCE_opt_0p2.xyz,Nucleus 18H :,2.98968,0.34051,-16.28164,23.65,28.06,22.7,20.19,124.78,85.21,36.79,-102.75,-63.36,-9.74,20.19,22.7,28.06,0,7.87,-0.36
KLaL_cation_pi_RCCE_opt_0p2.xyz,Nucleus 20H :,2.57849,0.43438,-14.17723,24.22,20.53,26.24,25.9,88.87,101.39,35.08,-62.84,-80.53,-9.29,20.53,25.9,26.24,0,5.71,0.88
KLaL_cation_pi_RCCE_opt_0p2.xyz,Nucleus 22H :,2.82822,1.48929,-14.10622,23.92,23.14,20.19,28.44,121.3,24.84,70.31,-98.08,2.84,-49.44,20.19,23.14,28.44,0,8.25,-0.28
KLaL_cation_pi_RCCE_opt_0p2.xyz,Nucleus 29H :,2.14561,-0.24168,-13.06379,27.48,34.53,24.72,23.19,129.76,8.26,26.97,-101.63,22.54,-3.44,23.19,24.72,34.53,0,11.34,-0.73
KLaL_cation_pi_RCCE_opt_0p2.xyz,Nucleus 30H :,2.02109,0.28044,-12.11936,26.99,23.27,27.55,30.15,4.6,91.4,62.44,22.8,-66.04,-34.24,23.27,27.55,30.15,0,6.88,0.24
KLaL_cation_pi_RCCE_opt_0p2.xyz,Nucleus 33H :,1.85668,-1.6211,-13.12241,24.12,28.88,23.08,20.41,132.78,18.79,4.33,-108.61,5.82,19.26,20.41,23.08,28.88,0,8.47,-0.37
KLaL_cation_pi_RCCE_opt_0p2.xyz,Nucleus 35H :,1.26442,-2.28521,-11.89554,24.51,20.76,26.06,26.72,91.19,-27.99,5.81,-65.19,52.85,16.86,20.76,26.06,26.72,0,5.96,0.78
KLaL_cation_pi_RCCE_opt_0p2.xyz,Nucleus 37H :,1.23472,-3.36627,-12.0504,24.2,29.07,20.44,23.09,-92.91,84.19,16.28,117.84,-60.72,7.92,20.44,23.09,29.07,0,8.63,-0.39
KLaL_cation_pi_RCCE_opt_0p2.xyz,Nucleus 40H :,1.91674,-2.09261,-11.03742,27.12,23.58,30.21,27.57,60.04,-71.51,-21.47,-31.38,95.09,50.59,23.58,27.57,30.21,0,6.63,0.2
KLaL_cation_pi_RCCE_opt_0p2.xyz,Nucleus 41H :,-0.11608,-1.76989,-11.58662,27.44,34.6,24.65,23.08,-117.9,57.97,-37.76,142.4,-24.16,61.78,23.08,24.65,34.6,0,11.52,-0.73
KLaL_cation_pi_RCCE_opt_0p2.xyz,Nucleus 44H :,-0.34726,-0.74504,-10.66249,23.77,28.28,22.86,20.16,61.62,-86.04,-40.9,-35.69,107.78,64.53,20.16,22.86,28.28,0,8.12,-0.34
KLaL_cation_pi_RCCE_opt_0p2.xyz,Nucleus 46H :,0.48968,-0.37756,-10.07614,24.16,20.46,26.16,25.85,71.23,-30.01,-68.32,-45.49,56.16,88.9,20.46,25.85,26.16,0,5.7,0.89
KLaL_cation_pi_RCCE_opt_0p2.xyz,Nucleus 48H :,-1.61623,-0.22215,-10.4753,23.73,28.18,22.86,20.14,66.2,-47.6,-6.28,-39.67,70.34,28.19,20.14,22.86,28.18,0,8.04,-0.32
KLaL_cation_pi_RCCE_opt_0p2.xyz,Nucleus 53H :,-1.78286,0.55559,-9.73755,30.23,30.54,38.35,21.8,7.34,92.37,111.55,15.14,-58.85,-76.84,21.8,30.54,38.35,0,16.55,0.06
KLaL_cation_pi_RCCE_opt_0p2.xyz,Nucleus 55H :,-2.67282,-0.71904,-11.20753,28.53,22.22,25.98,37.39,-28.01,26.4,87.28,51.52,0.77,-52.38,22.22,25.98,37.39,0,15.17,-0.5
KLaL_cation_pi_RCCE_opt_0p2.xyz,Nucleus 56H :,-3.67284,-0.32653,-11.04041,29.66,39.46,22.54,26.97,-59.68,38.03,99.14,82.31,0.78,-71.61,22.54,26.97,39.46,0,16.92,-0.48
KLaL_cation_pi_RCCE_opt_0p2.xyz,Nucleus 58H :,-2.50759,-1.75085,-12.13052,30.41,38.32,30.75,22.17,14.59,50.03,120.17,-97.76,16.38,-12.18,22.17,30.75,38.32,0,16.15,0.06
KLaL_cation_pi_RCCE_opt_0p2.xyz,Nucleus 60H :,-1.21105,-2.26606,-12.34584,28.52,22.24,25.96,37.37,96.6,68.01,22.62,-71.5,-40.32,10.17,22.24,25.96,37.37,0,15.13,-0.51
KLaL_cation_pi_RCCE_opt_0p2.xyz,Nucleus 61H :,2.06614,-2.26271,-14.33433,29.63,39.49,22.55,26.86,143.35,5.75,91.73,-120.23,21.39,-53.08,22.55,26.86,39.49,0,16.94,-0.49
KLaL_cation_pi_RCCE_opt_0p2.xyz,Nucleus 62H :,-3.05617,-3.70143,-15.43508,25.97,37.35,18.58,21.98,23.31,41.23,66.58,-1.86,-11.96,-39.4,18.58,21.98,37.35,0,18.77,-0.64
KLaL_cation_pi_RCCE_opt_0p2.xyz,Nucleus 63H :,-0.20716,-3.15713,-16.57412,24.61,35.79,22.38,15.67,85.24,39.01,11.98,-51.33,-17.02,5.96,15.67,22.38,35.79,0,20.12,-0.33
KLaL_cation_pi_RCCE_opt_0p2.xyz,Nucleus 64H :,-3.64618,-2.26946,-12.97424,27.76,42.35,19.45,21.49,77.4,-20.4,8.51,-37.11,41.59,13.31,19.45,21.49,42.35,0,22.9,-0.82
KLaL_cation_pi_RCCE_opt_0p2.xyz,Nucleus 65H :,-4.58558,-2.02912,-12.46536,24.28,36.4,14.37,22.08,18.84,51.15,39.0,7.61,-11.98,-31.78,14.37,22.08,36.4,0,22.03,-0.3
KLaL_cation_pi_RCCE_opt_0p2.xyz,Nucleus 2C :,-3.63086,-3.36289,-13.04152,152.09,135.19,163.5,157.58,302.32,171.15,227.33,-9.74,-149.36,-85.45,135.19,157.58,163.5,0,28.31,0.58
KLaL_cation_pi_RCCE_opt_0p2.xyz,Nucleus 5C :,-3.67186,-1.63971,-14.35326,43.32,162.36,11.4,-43.79,259.08,296.38,278.43,-107.53,-279.59,-316.79,-43.79,11.4,162.36,0,206.15,-0.46
KLaL_cation_pi_RCCE_opt_0p2.xyz,Nucleus 6C :,-3.9616,-0.28059,-14.4534,46.71,165.48,-59.14,33.78,209.39,327.24,292.44,-68.68,-370.27,-250.01,-59.14,33.78,165.48,0,224.62,-0.17
KLaL_cation_pi_RCCE_opt_0p2.xyz,Nucleus 8C :,-4.26639,0.26235,-13.56389,54.88,177.25,-56.33,43.73,221.02,338.27,286.79,-71.16,-263.47,-346.8,-56.33,43.73,177.25,0,233.58,-0.14
KLaL_cation_pi_RCCE_opt_0p2.xyz,Nucleus 10C :,-3.86508,0.37227,-15.67146,44.09,166.07,29.81,-63.62,225.83,346.37,297.21,-106.37,-349.08,-281.7,-63.62,29.81,166.07,0,229.69,-0.19
KLaL_cation_pi_RCCE_opt_0p2.xyz,Nucleus 12C :,-4.13466,1.42199,-15.74103,42.87,164.06,-39.91,4.47,231.69,315.07,271.73,-78.89,-333.1,-277.88,-39.91,4.47,164.06,0,203.97,-0.56
KLaL_cation_pi_RCCE_opt_0p2.xyz,Nucleus 13C :,-3.41889,-0.29236,-16.78652,152.5,134.43,164.51,158.55,341.65,245.84,286.76,-90.04,-177.32,-149.4,134.43,158.55,164.51,0,30.08,0.6
KLaL_cation_pi_RCCE_opt_0p2.xyz,Nucleus 16C :,-3.30176,0.23385,-17.72915,43.59,161.12,-28.93,-1.41,319.53,260.98,236.37,-85.48,-347.31,-253.33,-28.93,-1.41,161.12,0,190.05,-0.71
KLaL_cation_pi_RCCE_opt_0p2.xyz,Nucleus 17C :,-3.10266,-1.66591,-16.73126,44.83,-59.75,37.36,156.88,345.0,282.96,258.28,-380.6,-245.56,-125.6,-59.75,37.36,156.88,0,216.63,-0.1
KLaL_cation_pi_RCCE_opt_0p2.xyz,Nucleus 19C :,-2.49736,-2.31516,-17.95972,59.16,176.21,48.93,-47.65,329.63,238.06,283.88,-107.79,-279.22,-287.06,-47.65,48.93,176.21,0,223.86,-0.14
KLaL_cation_pi_RCCE_opt_0p2.xyz,Nucleus 21C :,-2.47907,-3.407,-17.86462,49.16,-53.22,43.41,157.3,359.91,253.23,266.94,-385.27,-107.18,-240.13,-53.22,43.41,157.3,0,210.52,-0.08
KLaL_cation_pi_RCCE_opt_0p2.xyz,Nucleus 23C :,-3.14888,-2.11605,-18.81737,47.13,155.97,-31.59,17.02,333.34,254.38,285.65,-353.59,-269.75,-108.63,-31.59,17.02,155.97,0,187.56,-0.48
KLaL_cation_pi_RCCE_opt_0p2.xyz,Nucleus 24C :,-1.12737,-1.77181,-18.26735,21.82,121.53,12.89,-68.97,249.11,307.16,286.4,-162.15,-285.55,-329.53,-68.97,12.89,121.53,0,190.5,-0.14
KLaL_cation_pi_RCCE_opt_0p2.xyz,Nucleus 25C :,-0.91658,-0.74033,-19.18898,21.81,110.56,-59.58,14.45,220.58,289.55,270.34,-111.21,-340.23,-263.6,-59.58,14.45,110.56,0,170.14,-0.13
KLaL_cation_pi_RCCE_opt_0p2.xyz,Nucleus 28C :,-1.75776,-0.38293,-19.77633,152.93,135.38,164.72,158.7,329.2,214.86,271.6,-166.95,-73.42,-116.48,135.38,158.7,164.72,0,29.34,0.59
KLaL_cation_pi_RCCE_opt_0p2.xyz,Nucleus 31C :,0.34176,-0.19192,-19.37488,41.33,163.85,5.68,-45.54,211.27,281.9,257.12,-68.89,-246.0,-311.41,-45.54,5.68,163.85,0,209.39,-0.51
KLaL_cation_pi_RCCE_opt_0p2.xyz,Nucleus 32C :,0.49023,0.59144,-20.11041,44.38,165.81,-61.06,28.38,191.75,326.43,270.53,-104.62,-259.32,-291.64,-61.06,28.38,165.81,0,226.87,-0.21
KLaL_cation_pi_RCCE_opt_0p2.xyz,Nucleus 34C :,1.40802,-0.66952,-18.64383,50.61,178.43,-62.29,35.7,328.48,177.13,243.1,-47.21,-341.8,-207.86,-62.29,35.7,178.43,0,240.72,-0.19
KLaL_cation_pi_RCCE_opt_0p2.xyz,Nucleus 36C :,2.40209,-0.26185,-18.80495,44.45,166.5,28.11,-61.25,144.45,330.27,243.2,-37.29,-353.3,-193.97,-61.25,28.11,166.5,0,227.75,-0.22
KLaL_cation_pi_RCCE_opt_0p2.xyz,Nucleus 38C :,1.26331,-1.70665,-17.72336,42.93,163.62,-43.76,8.93,219.01,289.35,307.36,-114.88,-268.25,-303.81,-43.76,8.93,163.62,0,207.38,-0.49
KLaL_cation_pi_RCCE_opt_0p2.xyz,Nucleus 39C :,-0.02275,-2.248,-17.50932,153.86,136.52,165.88,159.17,272.19,142.76,191.86,16.97,-112.89,-49.31,136.52,159.17,165.88,0,29.36,0.54
KLaL_cation_pi_RCCE_opt_0p2.xyz,Nucleus 42C :,-3.29932,-2.31449,-15.5209,45.52,156.29,-33.74,14.0,162.6,237.46,274.51,-53.29,-249.86,-234.87,-33.74,14.0,156.29,0,190.03,-0.5
KLaL_cation_pi_RCCE_opt_0p2.xyz,Nucleus 43C :,-0.634,-0.33327,-14.92549,46.62,-56.94,39.44,157.35,145.92,206.31,290.28,-305.68,-143.56,-53.43,-56.94,39.44,157.35,0,214.29,-0.1
KLaL_cation_pi_RCCE_opt_0p2.xyz,Nucleus 45C :,-0.61955,-0.82075,-14.04083,58.2,176.56,46.85,-48.82,303.28,227.78,212.02,-36.04,-181.22,-351.23,-48.82,46.85,176.56,0,225.38,-0.15
KLaL_cation_pi_RCCE_opt_0p2.xyz,Nucleus 47C :,-0.34639,1.64638,-16.01492,46.84,-56.04,39.49,157.06,174.63,305.53,230.97,-308.75,-189.17,-72.69,-56.04,39.49,157.06,0,213.1,-0.1
KLaL_cation_pi_RCCE_opt_0p2.xyz,Nucleus 49C :,-0.35573,2.65022,-16.04481,46.6,161.58,-24.55,2.77,224.55,260.35,306.39,-101.05,-246.62,-303.84,-24.55,2.77,161.58,0,186.13,-0.71
KLaL_cation_pi_RCCE_opt_0p2.xyz,Nucleus 50C :,-0.07021,1.15851,-16.85674,22.98,-69.6,16.63,121.91,143.2,263.48,281.92,-33.41,-249.87,-336.38,-69.6,16.63,121.91,0,191.51,-0.1
KLaL_cation_pi_RCCE_opt_0p2.xyz,Nucleus 51C :,-0.64706,0.98323,-14.92389,28.52,-58.27,105.2,38.63,151.55,295.83,272.21,-80.75,-227.53,-325.76,-58.27,38.63,105.2,0,163.47,0.19
KLaL_cation_pi_RCCE_opt_0p2.xyz,Nucleus 57C :,-0.16135,-0.80342,-15.68304,29.3,131.7,-30.42,-13.38,237.64,276.8,323.06,-115.78,-286.44,-347.38,-30.42,-13.38,131.7,0,162.12,-0.79
KLaL_cation_pi_RCCE_opt_0p2.xyz,Nucleus 52N :,-0.9608,1.63763,-13.83124,168.88,104.36,198.9,203.37,304.02,350.82,419.32,-281.0,-117.97,-168.58,104.36,198.9,203.37,0,99.01,0.91
KLaL_cation_pi_RCCE_opt_0p2.xyz,Nucleus 54N :,-0.9621,2.64135,-13.79599,177.91,225.39,183.09,125.26,221.17,322.15,389.96,-38.71,-210.63,-150.21,125.26,183.09,225.39,0,100.13,0.16
KLaL_cation_pi_RCCE_opt_0p2.xyz,Nucleus 59N :,-1.16151,1.14139,-12.97253,177.58,225.29,183.04,124.41,411.18,317.51,372.37,-101.44,-224.34,-242.53,124.41,183.04,225.29,0,100.88,0.16
KLaL_cation_pi_RCCE_opt_0p3.xyz,Nucleus 3H :,1.85056,-3.65399,-14.42354,27.66,34.61,24.85,23.51,-82.18,77.52,24.04,108.5,2.63,-47.55,23.51,24.85,34.61,0,11.1,-0.76
KLaL_cation_pi_RCCE_opt_0p3.xyz,Nucleus 4H :,-1.00867,-3.16908,-13.28325,26.87,23.28,27.34,29.98,-57.69,14.8,84.89,82.57,13.28,-57.25,23.28,27.34,29.98,0,6.7,0.21
KLaL_cation_pi_RCCE_opt_0p3.xyz,Nucleus 7H :,2.41198,-2.20461,-16.88088,24.32,29.03,23.43,20.51,-52.77,64.6,97.67,77.68,-39.47,-74.75,20.51,23.43,29.03,0,8.52,-0.31
KLaL_cation_pi_RCCE_opt_0p3.xyz,Nucleus 9H :,3.34765,-1.9455,-17.38756,24.76,21.13,26.32,26.84,4.21,94.74,70.78,21.69,-68.49,-48.64,21.13,26.32,26.84,0,5.71,0.82
KLaL_cation_pi_RCCE_opt_0p3.xyz,Nucleus 11H :,2.39691,-3.29532,-16.81784,24.22,29.07,20.39,23.21,142.27,56.8,32.32,-118.01,-31.88,-8.84,20.39,23.21,29.07,0,8.68,-0.35
KLaL_cation_pi_RCCE_opt_0p3.xyz,Nucleus 14H :,2.4252,-1.57784,-15.50033,26.22,22.95,29.49,26.23,17.42,92.65,67.27,8.79,-68.58,-38.89,22.95,26.23,29.49,0,6.54,0.0
KLaL_cation_pi_RCCE_opt_0p3.xyz,Nucleus 15H :,2.68791,-0.21348,-15.39687,27.86,34.89,25.15,23.54,134.94,36.91,60.04,-108.28,-3.82,-36.21,23.54,25.15,34.89,0,11.35,-0.72
KLaL_cation_pi_RCCE_opt_0p3.xyz,Nucleus 18H :,2.98968,0.34051,-16.28164,23.66,28.06,22.69,20.22,124.97,85.42,36.99,-102.94,-63.52,-9.95,20.22,22.69,28.06,0,7.84,-0.37
KLaL_cation_pi_RCCE_opt_0p3.xyz,Nucleus 20H :,2.57849,0.43438,-14.17723,24.24,20.57,26.26,25.9,89.26,101.33,35.06,-63.25,-80.41,-9.27,20.57,25.9,26.26,0,5.69,0.88
KLaL_cation_pi_RCCE_opt_0p3.xyz,Nucleus 22H :,2.82822,1.48929,-14.10622,23.93,23.13,20.22,28.44,121.71,24.84,70.48,-98.5,2.82,-49.57,20.22,23.13,28.44,0,8.22,-0.29
KLaL_cation_pi_RCCE_opt_0p3.xyz,Nucleus 29H :,2.14561,-0.24168,-13.06379,27.49,34.51,24.74,23.22,129.31,8.4,27.32,-101.19,22.42,-3.79,23.22,24.74,34.51,0,11.29,-0.73
KLaL_cation_pi_RCCE_opt_0p3.xyz,Nucleus 30H :,2.02109,0.28044,-12.11936,26.99,23.28,27.55,30.14,4.72,91.13,62.73,22.68,-65.81,-34.48,23.28,27.55,30.14,0,6.86,0.24
KLaL_cation_pi_RCCE_opt_0p3.xyz,Nucleus 33H :,1.85668,-1.6211,-13.12241,24.12,28.87,23.06,20.43,132.6,18.24,4.31,-108.44,6.35,19.29,20.43,23.06,28.87,0,8.44,-0.38
KLaL_cation_pi_RCCE_opt_0p3.xyz,Nucleus 35H :,1.26442,-2.28521,-11.89554,24.51,20.83,26.02,26.69,91.47,-28.75,5.6,-65.49,53.66,17.05,20.83,26.02,26.69,0,5.86,0.77
KLaL_cation_pi_RCCE_opt_0p3.xyz,Nucleus 37H :,1.23472,-3.36627,-12.0504,24.2,29.06,20.46,23.07,-92.66,84.17,16.43,117.62,-60.73,7.75,20.46,23.07,29.06,0,8.6,-0.39
KLaL_cation_pi_RCCE_opt_0p3.xyz,Nucleus 40H :,1.91674,-2.09261,-11.03742,27.12,23.59,30.2,27.56,60.07,-71.31,-21.3,-31.45,94.9,50.43,23.59,27.56,30.2,0,6.61,0.2
KLaL_cation_pi_RCCE_opt_0p3.xyz,Nucleus 41H :,-0.11608,-1.76989,-11.58662,27.45,34.58,24.66,23.1,-117.5,57.97,-37.83,142.0,-24.16,61.87,23.1,24.66,34.58,0,11.48,-0.73
KLaL_cation_pi_RCCE_opt_0p3.xyz,Nucleus 44H :,-0.34726,-0.74504,-10.66249,23.77,28.28,22.86,20.18,61.52,-86.49,-41.18,-35.62,108.26,64.84,20.18,22.86,28.28,0,8.1,-0.34
KLaL_cation_pi_RCCE_opt_0p3.xyz,Nucleus 46H :,0.48968,-0.37756,-10.07614,24.17,20.5,26.18,25.84,71.3,-30.83,-68.14,-45.57,57.0,88.75,20.5,25.84,26.18,0,5.68,0.88
KLaL_cation_pi_RCCE_opt_0p3.xyz,Nucleus 48H :,-1.61623,-0.22215,-10.4753,23.73,28.18,22.84,20.17,66.08,-48.02,-6.91,-39.59,70.78,28.84,20.17,22.84,28.18,0,8.01,-0.33
KLaL_cation_pi_RCCE_opt_0p3.xyz,Nucleus 53H :,-1.78286,0.55559,-9.73755,30.43,38.5,30.64,22.14,8.8,93.55,112.19,13.95,-59.38,-77.84,22.14,30.64,38.5,0,16.36,0.04
KLaL_cation_pi_RCCE_opt_0p3.xyz,Nucleus 55H :,-2.67282,-0.71904,-11.20753,28.42,22.06,25.82,37.39,-29.06,26.2,86.12,52.43,0.82,-51.23,22.06,25.82,37.39,0,15.33,-0.51
KLaL_cation_pi_RCCE_opt_0p3.xyz,Nucleus 56H :,-3.67284,-0.32653,-11.04041,29.45,39.01,22.33,27.02,-60.54,37.32,96.83,82.97,0.97,-69.2,22.33,27.02,39.01,0,16.68,-0.44
KLaL_cation_pi_RCCE_opt_0p3.xyz,Nucleus 58H :,-2.50759,-1.75085,-12.13052,30.59,38.49,30.79,22.48,14.49,49.61,118.1,-95.36,16.55,-11.62,22.48,30.79,38.49,0,16.01,0.04
KLaL_cation_pi_RCCE_opt_0p3.xyz,Nucleus 60H :,-1.21105,-2.26606,-12.34584,28.42,22.08,25.81,37.38,95.82,67.12,22.57,-70.79,-39.58,10.12,22.08,25.81,37.38,0,15.3,-0.51
KLaL_cation_pi_RCCE_opt_0p3.xyz,Nucleus 61H :,2.06614,-2.26271,-14.33433,29.43,39.03,22.35,26.91,143.29,6.77,90.8,-120.4,20.43,-52.62,22.35,26.91,39.03,0,16.68,-0.45
KLaL_cation_pi_RCCE_opt_0p3.xyz,Nucleus 62H :,-3.05617,-3.70143,-15.43508,25.95,37.35,18.52,21.97,22.87,41.2,66.86,-1.41,-11.97,-39.72,18.52,21.97,37.35,0,18.83,-0.63
KLaL_cation_pi_RCCE_opt_0p3.xyz,Nucleus 63H :,-0.20716,-3.15713,-16.57412,24.62,35.79,22.44,15.64,84.97,39.73,12.47,-51.07,-17.62,5.39,15.64,22.44,35.79,0,20.15,-0.32
KLaL_cation_pi_RCCE_opt_0p3.xyz,Nucleus 64H :,-3.64618,-2.26946,-12.97424,27.77,42.32,19.47,21.51,77.25,-20.16,8.49,-36.97,41.34,13.36,19.47,21.51,42.32,0,22.85,-0.82
KLaL_cation_pi_RCCE_opt_0p3.xyz,Nucleus 65H :,-4.58558,-2.02912,-12.46536,24.29,36.41,14.33,22.14,18.79,51.52,39.14,7.52,-12.17,-31.92,14.33,22.14,36.41,0,22.08,-0.29
KLaL_cation_pi_RCCE_opt_0p3.xyz,Nucleus 2C :,-3.63086,-3.36289,-13.04152,152.06,135.18,163.46,157.54,301.18,170.67,225.87,-9.28,-147.94,-84.32,135.18,157.54,163.46,0,28.28,0.58
KLaL_cation_pi_RCCE_opt_0p3.xyz,Nucleus 5C :,-3.67186,-1.63971,-14.35326,43.0,162.3,10.48,-43.79,258.93,296.05,279.05,-107.91,-280.6,-316.54,-43.79,10.48,162.3,0,206.09,-0.47
KLaL_cation_pi_RCCE_opt_0p3.xyz,Nucleus 6C :,-3.9616,-0.28059,-14.4534,47.06,165.45,-58.84,34.58,211.94,325.72,293.16,-70.39,-369.79,-249.45,-58.84,34.58,165.45,0,224.29,-0.17
KLaL_cation_pi_RCCE_opt_0p3.xyz,Nucleus 8C :,-4.26639,0.26235,-13.56389,55.14,177.22,-56.41,44.61,221.66,337.86,287.28,-71.67,-262.36,-347.34,-56.41,44.61,177.22,0,233.63,-0.14
KLaL_cation_pi_RCCE_opt_0p3.xyz,Nucleus 10C :,-3.86508,0.37227,-15.67146,44.36,166.05,30.42,-63.39,227.48,345.1,295.79,-106.74,-347.35,-281.2,-63.39,30.42,166.05,0,229.44,-0.18
KLaL_cation_pi_RCCE_opt_0p3.xyz,Nucleus 12C :,-4.13466,1.42199,-15.74103,42.56,163.99,-39.88,3.56,230.53,315.4,271.73,-78.32,-332.83,-278.84,-39.88,3.56,163.99,0,203.87,-0.57
KLaL_cation_pi_RCCE_opt_0p3.xyz,Nucleus 13C :,-3.41889,-0.29236,-16.78652,152.47,134.43,164.47,158.51,341.34,245.78,288.11,-89.99,-177.04,-150.77,134.43,158.51,164.47,0,30.04,0.6
KLaL_cation_pi_RCCE_opt_0p3.xyz,Nucleus 16C :,-3.30176,0.23385,-17.72915,43.62,161.05,-28.8,-1.4,319.33,260.86,238.14,-85.58,-347.01,-254.88,-28.8,-1.4,161.05,0,189.85,-0.71
KLaL_cation_pi_RCCE_opt_0p3.xyz,Nucleus 17C :,-3.10266,-1.66591,-16.73126,44.91,-59.73,37.63,156.83,345.86,283.03,258.66,-381.71,-245.46,-125.66,-59.73,37.63,156.83,0,216.56,-0.1
KLaL_cation_pi_RCCE_opt_0p3.xyz,Nucleus 19C :,-2.49736,-2.31516,-17.95972,59.43,176.14,49.53,-47.38,330.56,237.44,283.65,-107.77,-279.11,-286.49,-47.38,49.53,176.14,0,223.52,-0.13
KLaL_cation_pi_RCCE_opt_0p3.xyz,Nucleus 21C :,-2.47907,-3.407,-17.86462,49.21,-53.27,43.65,157.25,361.01,253.15,267.07,-387.03,-106.66,-239.92,-53.27,43.65,157.25,0,210.52,-0.08
KLaL_cation_pi_RCCE_opt_0p3.xyz,Nucleus 23C :,-3.14888,-2.11605,-18.81737,47.22,155.88,-31.29,17.07,332.32,255.09,286.22,-352.79,-270.58,-108.61,-31.29,17.07,155.88,0,187.17,-0.48
KLaL_cation_pi_RCCE_opt_0p3.xyz,Nucleus 24C :,-1.12737,-1.77181,-18.26735,21.52,121.43,12.3,-69.16,249.75,307.74,286.19,-160.58,-287.32,-331.21,-69.16,12.3,121.43,0,190.59,-0.15
KLaL_cation_pi_RCCE_opt_0p3.xyz,Nucleus 25C :,-0.91658,-0.74033,-19.18898,21.68,110.45,-59.48,14.08,220.98,290.05,271.37,-111.99,-341.48,-263.87,-59.48,14.08,110.45,0,169.93,-0.13
KLaL_cation_pi_RCCE_opt_0p3.xyz,Nucleus 28C :,-1.75776,-0.38293,-19.77633,152.91,135.39,164.71,158.63,328.8,214.69,272.18,-166.63,-73.18,-117.13,135.39,158.63,164.71,0,29.32,0.59
KLaL_cation_pi_RCCE_opt_0p3.xyz,Nucleus 31C :,0.34176,-0.19192,-19.37488,41.1,163.79,4.96,-45.44,212.3,281.27,256.83,-68.54,-246.68,-311.88,-45.44,4.96,163.79,0,209.23,-0.52
KLaL_cation_pi_RCCE_opt_0p3.xyz,Nucleus 32C :,0.49023,0.59144,-20.11041,44.57,165.77,-61.01,28.95,191.11,326.54,270.22,-103.7,-259.01,-291.45,-61.01,28.95,165.77,0,226.78,-0.21
KLaL_cation_pi_RCCE_opt_0p3.xyz,Nucleus 34C :,1.40802,-0.66952,-18.64383,50.79,178.4,-62.44,36.42,328.62,176.65,242.95,-47.28,-341.38,-207.18,-62.44,36.42,178.4,0,240.84,-0.18
KLaL_cation_pi_RCCE_opt_0p3.xyz,Nucleus 36C :,2.40209,-0.26185,-18.80495,44.59,166.46,28.56,-61.25,144.48,330.53,242.63,-37.84,-353.42,-192.61,-61.25,28.56,166.46,0,227.71,-0.21
KLaL_cation_pi_RCCE_opt_0p3.xyz,Nucleus 38C :,1.26331,-1.70665,-17.72336,42.74,163.56,-43.6,8.27,219.77,288.97,307.47,-115.62,-267.25,-305.1,-43.6,8.27,163.56,0,207.16,-0.5
KLaL_cation_pi_RCCE_opt_0p3.xyz,Nucleus 39C :,-0.02275,-2.248,-17.50932,153.84,136.55,165.87,159.09,272.0,142.44,192.01,17.07,-112.79,-49.22,136.55,159.09,165.87,0,29.32,0.54
KLaL_cation_pi_RCCE_opt_0p3.xyz,Nucleus 42C :,-3.29932,-2.31449,-15.5209,45.62,156.2,-33.44,14.09,163.69,235.97,274.25,-53.11,-249.79,-234.15,-33.44,14.09,156.2,0,189.64,-0.5
KLaL_cation_pi_RCCE_opt_0p3.xyz,Nucleus 43C :,-0.634,-0.23327,-14.92549,46.7,-56.93,39.71,157.31,144.57,206.08,289.83,-304.34,-142.26,-53.78,-56.93,39.71,157.31,0,214.24,-0.1
